timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,sim,sim_traversal
9950,4,0,6,3,2,3,10,17,1,20,4,254,2,0,0.0,18,1,254
9957,4,0,6,4,2,3,10,17,1,20,4,254,2,0,0.0,25,1,254
9958,4,2,2,1,4,3,9,18,2,20,4,256,3,1,0.3333333333333333,9,1,256
9964,4,0,6,5,3,3,10,17,1,20,4,254,2,0,0.0,32,1,254
9965,4,0,2,1,4,3,11,17,1,20,4,255,2,0,0.0,32,1,255
9966,2,0,7,1,4,3,12,17,1,3,3,254,2,0,0.0,6,1,254
9993,0,1,5,1,1,3,9,15,15,17,1,257,5,5,1.0,24,1,257
10000,0,1,5,2,2,3,9,15,15,17,1,257,5,5,1.0,31,1,257
10007,0,1,5,3,2,3,9,15,15,17,1,257,5,5,1.0,38,1,257
10014,0,1,5,4,2,3,9,15,15,17,1,257,5,5,1.0,45,1,257
10021,0,1,5,5,3,3,9,15,15,17,1,257,5,5,1.0,52,1,257
10022,0,1,1,1,4,3,10,15,15,17,1,258,5,5,1.0,52,1,258
10029,4,0,6,1,1,3,9,17,1,20,4,257,2,0,0.0,4,1,257
10036,0,1,3,1,4,3,9,20,4,17,1,255,2,2,1.0,16,1,255
10036,4,0,6,2,2,3,9,17,1,20,4,257,2,0,0.0,11,1,257
10041,2,4,1,1,4,3,9,0,0,19,3,259,3,1,0.3333333333333333,8,1,259
10043,4,0,6,3,2,3,9,17,1,20,4,257,2,0,0.0,18,1,257
10050,4,0,6,4,2,3,9,17,1,20,4,257,2,0,0.0,25,1,257
10057,4,0,6,5,3,3,9,17,1,20,4,257,2,0,0.0,32,1,257
10058,4,0,2,1,4,3,10,17,1,20,4,258,2,0,0.0,32,1,258
10059,2,0,7,1,4,3,11,17,1,15,15,257,5,0,0.0,5,1,257
10065,4,2,2,1,4,3,9,19,3,20,4,259,4,2,0.5,12,1,259
10100,4,2,2,1,4,3,9,18,2,20,4,260,3,1,0.3333333333333333,8,1,260
10110,0,1,3,1,4,3,9,20,4,17,1,258,2,2,1.0,12,1,258
10195,4,2,2,1,4,3,9,18,2,20,4,262,3,1,0.3333333333333333,8,1,262
10208,4,2,2,1,4,3,9,19,3,20,4,263,4,2,0.5,12,1,263
10311,4,2,1,1,4,3,9,3,3,20,4,266,4,2,0.5,12,1,266
10318,4,2,2,1,4,3,9,19,3,20,4,265,4,2,0.5,12,1,265
10405,1,4,1,1,4,3,9,0,0,21,5,267,2,1,0.5,8,1,267
10413,4,2,1,1,4,3,9,3,3,20,4,268,4,2,0.5,12,1,268
10516,2,4,1,1,4,3,9,0,0,22,6,270,3,1,0.3333333333333333,8,1,270
10567,1,2,1,1,4,3,9,3,3,21,5,272,3,2,0.6666666666666666,12,1,272
10624,2,4,5,1,1,3,9,0,0,22,6,273,3,1,0.3333333333333333,8,1,273
10631,2,4,5,2,2,3,9,0,0,22,6,273,3,1,0.3333333333333333,15,1,273
10638,2,4,5,3,2,3,9,0,0,22,6,273,3,1,0.3333333333333333,22,1,273
10645,2,4,5,4,2,3,9,0,0,22,6,273,3,1,0.3333333333333333,29,1,273
10652,2,4,5,5,3,3,9,0,0,22,6,273,3,1,0.3333333333333333,36,1,273
10653,2,4,1,1,4,3,10,0,0,22,6,274,3,1,0.3333333333333333,36,1,274
10822,2,4,5,1,1,3,9,0,0,23,7,278,4,1,0.25,8,1,278
10829,2,4,5,2,2,3,9,0,0,23,7,278,4,1,0.25,15,1,278
10836,2,4,5,3,2,3,9,0,0,23,7,278,4,1,0.25,22,1,278
10843,2,4,5,4,2,3,9,0,0,23,7,278,4,1,0.25,29,1,278
10850,2,4,5,5,3,3,9,0,0,23,7,278,4,1,0.25,36,1,278
10851,2,4,1,1,4,3,10,0,0,23,7,281,4,1,0.25,36,1,281
10962,2,4,1,1,4,3,9,0,0,23,7,282,4,1,0.25,8,1,282
11054,1,4,1,1,4,3,9,0,0,25,9,287,3,1,0.3333333333333333,8,1,287
11151,2,4,1,1,4,3,9,0,0,26,10,289,4,1,0.25,8,1,289
11204,1,2,1,1,4,3,9,3,3,25,9,290,4,2,0.5,12,1,290
11261,2,4,5,1,1,3,9,0,0,26,10,293,4,1,0.25,8,1,293
11268,2,4,5,2,2,3,9,0,0,26,10,293,4,1,0.25,15,1,293
11275,2,4,5,3,2,3,9,0,0,26,10,293,4,1,0.25,22,1,293
11282,2,4,5,4,2,3,9,0,0,26,10,293,4,1,0.25,29,1,293
11289,2,4,5,5,3,3,9,0,0,26,10,293,4,1,0.25,36,1,293
11290,2,4,1,1,4,3,10,0,0,26,10,294,4,1,0.25,36,1,294
