router,time
1,638473
6,638474
0,638476
0,638477
2,638477
1,638480
6,638481
1,638481
2,638484
2,638485
6,638488
6,638489
6,638524
5,638528
4,638532
0,638536
6,638546
6,638547
6,638548
6,638549
5,638550
5,638551
5,638552
6,638553
5,638553
4,638554
4,638555
4,638556
5,638557
4,638557
0,638558
0,638559
0,638560
4,638561
0,638561
0,638565
0,640446
1,640450
0,640453
2,640454
1,640457
3,640458
0,640460
2,640461
7,640462
1,640464
3,640465
0,640467
2,640468
7,640469
1,640471
3,640472
0,640474
0,640475
2,640475
7,640476
1,640478
3,640479
1,640479
2,640482
2,640483
7,640483
3,640486
3,640487
7,640490
7,640491
7,640526
6,640530
5,640534
4,640538
0,640542
7,640548
7,640549
7,640550
7,640551
6,640552
6,640553
6,640554
7,640555
6,640555
5,640556
5,640557
5,640558
6,640559
5,640559
4,640560
4,640561
4,640562
5,640563
4,640563
0,640564
0,640565
0,640566
4,640567
0,640567
0,640571
0,642452
4,642456
0,642459
8,642460
4,642463
0,642466
8,642467
4,642470
0,642473
8,642474
4,642477
0,642480
0,642481
8,642481
4,642484
4,642485
8,642488
8,642489
8,642524
4,642528
0,642532
8,642546
8,642547
8,642548
8,642549
4,642550
4,642551
4,642552
8,642553
4,642553
0,642554
0,642555
0,642556
4,642557
0,642557
0,642561
0,644442
1,644446
0,644449
5,644450
1,644453
9,644454
0,644456
5,644457
1,644460
9,644461
0,644463
5,644464
1,644467
9,644468
0,644470
0,644471
5,644471
1,644474
9,644475
1,644475
5,644478
5,644479
9,644482
9,644483
9,644518
8,644522
4,644526
0,644530
9,644540
9,644541
9,644542
9,644543
8,644544
8,644545
8,644546
9,644547
8,644547
4,644548
4,644549
4,644550
8,644551
4,644551
0,644552
0,644553
0,644554
4,644555
0,644555
0,644559
0,646230
1,646234
0,646237
2,646238
1,646241
3,646242
0,646244
2,646245
1,646248
3,646249
0,646251
2,646252
1,646255
3,646256
0,646258
0,646259
2,646259
1,646262
3,646263
1,646263
2,646266
2,646267
3,646270
3,646271
3,646306
2,646310
1,646314
0,646318
3,646328
3,646329
3,646330
3,646331
2,646332
2,646333
2,646334
3,646335
2,646335
1,646336
1,646337
1,646338
2,646339
1,646339
0,646340
0,646341
0,646342
1,646343
0,646343
0,646347
0,646418
1,646422
0,646425
2,646426
1,646429
3,646430
0,646432
2,646433
1,646436
3,646437
0,646439
2,646440
1,646443
3,646444
0,646446
0,646447
2,646447
1,646450
3,646451
1,646451
2,646454
2,646455
3,646458
3,646459
3,646496
2,646500
1,646504
0,646508
3,646518
3,646519
3,646520
3,646521
2,646522
2,646523
2,646524
3,646525
2,646525
1,646526
1,646527
1,646528
2,646529
1,646529
0,646530
0,646531
0,646532
1,646533
0,646533
0,646537
0,646730
4,646734
0,646737
8,646738
4,646741
12,646742
0,646744
8,646745
4,646748
12,646749
0,646751
8,646752
4,646755
12,646756
0,646758
0,646759
8,646759
4,646762
12,646763
4,646763
8,646766
8,646767
12,646770
12,646771
12,646806
8,646810
4,646814
0,646818
12,646828
12,646829
12,646830
12,646831
8,646832
8,646833
8,646834
12,646835
8,646835
4,646836
4,646837
4,646838
8,646839
4,646839
0,646840
0,646841
0,646842
4,646843
0,646843
0,646847
0,648728
1,648732
0,648735
5,648736
1,648739
9,648740
0,648742
5,648743
13,648744
1,648746
9,648747
0,648749
5,648750
13,648751
1,648753
9,648754
0,648756
0,648757
5,648757
13,648758
1,648760
9,648761
1,648761
5,648764
5,648765
13,648765
9,648768
9,648769
13,648772
13,648773
13,648808
12,648812
8,648816
4,648820
0,648824
13,648830
13,648831
13,648832
13,648833
12,648834
12,648835
12,648836
13,648837
12,648837
8,648838
8,648839
8,648840
12,648841
8,648841
4,648842
4,648843
4,648844
8,648845
4,648845
0,648846
0,648847
0,648848
4,648849
0,648849
0,648853
0,650734
1,650738
0,650741
2,650742
1,650745
6,650746
0,650748
2,650749
10,650750
1,650752
6,650753
14,650754
0,650755
2,650756
10,650757
1,650759
6,650760
14,650761
0,650762
0,650763
2,650763
10,650764
