time_intervals,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,target
20700,5,0,0,0,5,0,0,0,5,0,0,0,5,5,5,5,1
20800,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20900,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21000,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21100,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21200,6,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21300,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21400,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1
21500,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1
21600,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1
21700,7,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1
21800,6,0,0,0,6,0,1,0,5,0,1,0,5,5,6,0,1
21900,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1
22000,6,6,6,6,0,0,0,6,0,0,0,0,0,0,0,0,1
22100,12,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,1
22200,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22300,6,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,1
22400,7,1,0,0,5,0,0,0,5,0,0,0,0,0,0,0,1
22500,11,11,0,0,0,4,0,0,0,4,0,0,0,0,0,0,1
22600,8,1,0,0,6,2,0,0,6,8,0,0,0,0,0,0,1
22700,5,5,6,0,1,0,6,0,1,3,11,0,0,0,0,0,1
22800,11,0,0,0,11,0,0,0,5,3,1,0,0,0,0,0,1
22900,6,1,0,0,5,6,0,0,0,0,0,0,0,0,0,0,1
23000,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
23100,6,1,1,1,5,5,5,1,0,0,0,0,0,0,0,0,1
23200,6,1,0,0,5,6,5,5,0,0,0,0,0,0,0,0,1
23300,11,6,6,0,5,5,6,0,0,0,6,0,0,0,0,0,1
23400,7,1,1,0,6,0,0,0,6,6,6,0,0,0,0,0,1
23500,6,0,0,0,6,5,6,0,1,0,0,0,1,0,0,0,1
23600,6,1,1,1,5,0,0,1,5,0,0,0,5,0,0,0,1
23700,11,6,0,0,5,11,5,5,0,6,0,0,0,6,0,0,1
23800,8,2,1,0,6,0,1,0,6,0,0,0,6,6,0,0,1
23900,5,4,5,0,1,0,5,0,1,0,6,0,1,5,12,0,1
24000,11,0,0,0,11,0,0,0,11,0,0,0,5,1,0,0,1
24100,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24300,11,11,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1
24400,10,4,3,0,6,6,0,0,0,0,0,0,0,0,0,0,1
24500,8,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24600,12,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1
24700,7,6,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1
24800,6,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1
24900,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,1
25000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25100,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25200,11,11,11,6,0,0,0,0,0,0,0,0,0,0,0,0,1
25300,8,6,6,6,1,0,0,0,0,0,0,0,0,0,0,0,1
25400,10,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1
25500,6,1,0,0,5,6,0,0,0,0,0,0,0,0,0,0,1
25600,6,6,6,6,0,0,0,6,0,1,1,7,0,0,0,0,1
25700,7,1,1,0,6,0,1,0,6,5,5,5,0,0,0,0,1
25800,5,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,1
25900,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
26000,5,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,1
26100,7,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
26200,6,1,1,1,5,0,0,1,5,5,5,0,0,0,0,0,1
26300,5,0,0,0,5,0,0,0,5,5,5,6,0,0,0,0,1
26400,6,1,0,0,5,1,0,0,5,6,0,0,0,0,0,0,1
26500,7,6,0,0,1,9,0,0,0,0,0,0,0,0,0,0,1
26600,7,0,0,0,7,3,0,0,1,0,0,0,0,0,0,0,1
26700,10,0,0,0,10,0,0,0,11,0,0,0,0,0,0,0,1
26800,6,6,6,6,0,0,0,4,0,0,0,0,0,0,0,0,1
26900,6,0,0,0,6,6,6,8,0,0,0,0,0,0,0,0,1
27000,8,2,1,0,5,1,0,0,5,1,0,0,5,6,0,0,1
27100,4,5,5,6,1,0,0,6,1,0,0,6,1,1,1,7,1
27200,12,0,0,0,5,0,0,0,5,0,0,0,5,5,5,5,1
27300,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27400,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27500,9,7,6,0,0,0,6,0,0,0,6,0,0,0,6,0,1
27600,6,0,0,0,6,0,0,0,6,0,0,0,6,6,6,0,1
27700,6,6,6,7,0,0,0,0,0,0,0,0,0,0,0,0,1
27800,7,7,7,6,0,0,0,1,0,0,0,1,0,0,0,0,1
27900,6,1,0,0,5,1,0,0,5,6,5,5,0,1,0,0,1
28000,6,1,0,0,5,1,0,0,5,1,0,0,5,5,0,0,1
